tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
G4NKX,G4NKX,True,True,both,B,IO90lv,6.0,50.8958,-1.0417,N,50.8958,46.443,46.443,3,171
G4NSJ,G4NSJ,True,True,both,B,IO90tt,6.0,50.8125,-0.375,N,50.8125,46.325,46.325,338,105667
G4NSJ/M,G4NSJ,True,True,both,A,IO90tt,6.0,50.8125,-0.375,N,50.8125,46.325,46.325,15,995
G4NU,G4NU,True,True,both,A,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,69,126
G4NUO,G4NUO,True,True,both,B,IO94lo,6.0,54.6042,-1.0417,N,54.6042,50.998,50.998,3,2786
G4NXH,G4NXH,True,True,both,A,IO94hu,6.0,54.8542,-1.375,N,54.8542,51.312,51.312,278,10422
G4OEP,G4OEP,True,True,both,B,IO81ql,6.0,51.4792,-2.625,N,51.4792,47.216,47.216,128,503899
G4OMJ,G4OMJ,True,True,both,B,IO92mv,6.0,52.8958,-0.9583,N,52.8958,48.918,48.918,4,1129
G4PCI,G4PCI,True,True,both,B,IO81xj,6.0,51.3958,-2.0417,N,51.3958,47.094,47.094,251,16320
G4PDC,G4PDC,True,True,both,A,IO81sh,6.0,51.3125,-2.4583,N,51.3125,47.002,47.002,127,1737
G4PEY,G4PEY,True,True,both,A,IO91tb,6.0,51.0625,-0.375,N,51.0625,46.637,46.637,125,655465
G4PHC,G4PHC,True,False,wsprnet_only,A,IO90,4.0,50.5,-1.0,N,50.5,45.946,45.946,89,278
G4PMB,G4PMB,True,True,both,A,IO92qb,6.0,52.0625,-0.625,N,52.0625,47.883,47.883,38,84510
G4RAA,G4RAA,True,True,both,B,IO91qm,6.0,51.5208,-0.625,N,51.5208,47.213,47.213,26,18253
G4RAF,G4RAF,True,True,both,A,IO82,4.0,52.5,-3.0,N,52.5,48.499,48.499,216,536353
G4RCV,G4RCV,True,True,both,B,IO92,4.0,52.5,-1.0,N,52.5,48.433,48.433,3,5905
G4RGH,G4RGH,True,True,both,A,IO93ik,6.0,53.4375,-1.2917,N,53.4375,49.591,49.591,24,65644
G4RGH/P,G4RGH,True,True,both,B,IO80cs,6.0,50.7708,-3.7917,N,50.7708,46.364,46.364,4,6172
G4RHR,G4RHR,True,True,both,B,JO02pa,6.0,52.0208,1.2917,N,52.0208,47.79,47.79,3,175
G4RKB,G4RKB,True,True,both,B,JO01lv,6.0,51.8958,0.9583,N,51.8958,47.643,47.643,3,2390
