rx_sign,rx_id,n_spots,n_noise_ok,n_ov_nonzero,first_spot,last_spot,n_bands,bands,noise_valid_frac,rms_noise_mean,c2_noise_mean,ov_frac,noise_usable
84,KIWI_1,1,1,0,2025-08-09 17:28:00,2025-08-09 17:28:00,1,10m,1.0,-119.2,-180.9,0.0,True
855,KA9Q_4,2,2,0,2025-06-18 02:32:00,2025-06-18 02:32:00,1,30m,1.0,-116.7,30.0,0.0,True
874,KA9Q_0,1,1,0,2025-12-11 10:58:00,2025-12-11 10:58:00,1,10m,1.0,-120.7,30.0,0.0,True
892,KA9Q_3,1,1,0,2025-08-15 20:44:00,2025-08-15 20:44:00,1,20m,1.0,-125.4,-89.1,0.0,True
900,KIWI_2,2,2,0,2025-07-11 11:14:00,2025-08-19 11:06:00,2,40m|20m,1.0,-139.7,30.0,0.0,True
903,KA9Q_0,1,1,0,2025-12-11 12:22:00,2025-12-11 12:22:00,1,10m,1.0,-120.1,30.0,0.0,True
907,KA9Q_0,1,1,0,2025-12-03 19:54:00,2025-12-03 19:54:00,1,other,1.0,-130.1,20.0,0.0,True
910,KIWIA,1,1,0,2025-07-01 09:58:00,2025-07-01 09:58:00,1,30m,1.0,-137.2,30.0,0.0,True
926,KIWI_2,1,1,0,2025-09-20 19:02:00,2025-09-20 19:02:00,1,30m,1.0,-133.5,30.0,0.0,True
927,KA9Q_3,1,1,0,2025-09-02 04:56:00,2025-09-02 04:56:00,1,40m,1.0,-125.1,40.0,0.0,True
948,KIWI_2,1,1,0,2025-07-11 11:14:00,2025-07-11 11:14:00,1,40m,1.0,-146.8,40.0,0.0,True
952,KA9Q-0,1,1,0,2025-06-24 17:12:00,2025-06-24 17:12:00,1,20m,1.0,-147.7,20.0,0.0,True
952,WEB-888,1,1,0,2025-06-13 19:52:00,2025-06-13 19:52:00,1,20m,1.0,-152.4,20.0,0.0,True
963,KA9Q-0,1,1,0,2025-06-15 15:22:00,2025-06-15 15:22:00,1,20m,1.0,-150.1,20.0,0.0,True
966,KA9Q_4,1,1,0,2025-06-18 01:16:00,2025-06-18 01:16:00,1,30m,1.0,-125.7,30.0,0.0,True
979,KA9Q_4,1,1,0,2025-06-18 02:32:00,2025-06-18 02:32:00,1,30m,1.0,-116.7,30.0,0.0,True
984,KA9Q_0,1,1,0,2025-12-11 12:22:00,2025-12-11 12:22:00,1,10m,1.0,-120.1,30.0,0.0,True
AB4EJ,KA9Q_0,518612,518471,295834,2025-07-30 19:08:00,2025-08-23 09:46:00,13,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,0.9997,-140.73,-141.52,0.5704,True
AC0G/B1,AC0G_B1,272433,0,0,2026-05-14 13:16:00,2026-05-31 06:02:00,12,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,0.0,,,0.0,False
AC0G/B1,KA9Q_T3FD,197847,192797,0,2026-04-19 23:20:00,2026-05-16 11:40:00,12,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,0.9745,-107.18,-63.64,0.0,True
AC0G/B1,bee1,517336,0,0,2026-05-31 06:04:00,2026-06-18 14:30:00,12,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,0.0,,,0.0,False
AC0G/B2,KA9Q_T3FD,5428133,5425715,0,2025-11-13 00:52:00,2026-06-02 19:06:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,0.9996,-127.54,-129.14,0.0,True
AC0G/B4,AC0G_B4,148261,0,0,2026-05-15 01:28:00,2026-05-30 14:44:00,13,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m,0.0,,,0.0,False
AC0G/B4,B4-100-rx888mk2,743183,0,0,2026-05-30 14:46:00,2026-06-25 00:20:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m,0.0,,,0.0,False
AC0G/B5,bee1,12712,0,0,2026-05-30 14:46:00,2026-06-01 00:28:00,12,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,0.0,,,0.0,False
AC0G/B6,bee2,475442,0,0,2026-05-30 14:48:00,2026-06-18 14:30:00,12,160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m,0.0,,,0.0,False
AC0G/ND,KA9Q_DXE,9733104,9731746,3985066,2025-06-01 00:00:00,2026-06-30 23:58:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,0.9999,-121.25,-107.18,0.4094,True
AC0G/S,sigma-rx888mk2,8770,0,0,2026-06-30 00:22:00,2026-06-30 23:58:00,13,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m,0.0,,,0.0,False
DC1RDB,RD_Kiwi1,396599,395816,21702,2025-06-01 00:00:00,2025-12-03 13:46:00,5,2200m|630m|160m|80m|other,0.998,-137.38,-129.46,0.0547,True
DF1DR,KIWI_1,1442379,1442379,0,2025-06-01 00:00:00,2026-01-24 19:04:00,9,80m|60m|30m|20m|17m|15m|12m|10m|other,1.0,-127.41,-126.85,0.0,True
DF1DR,KIWI_2,1959761,1959761,0,2025-06-01 00:00:00,2026-01-12 14:24:00,7,2200m|630m|160m|80m|60m|40m|other,1.0,-130.08,-129.03,0.0,True
DF4UE,KA9Q_0,635530,635445,321001,2025-07-04 09:02:00,2025-10-26 23:50:00,15,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|8m|6m,0.9999,-121.62,-93.5,0.5051,True
DJ2DS-1,KIWI_0,1526081,1526081,1320197,2026-03-28 10:06:00,2026-06-10 14:56:00,11,2200m|630m|160m|80m|60m|40m|30m|20m|17m|15m|10m,1.0,-121.46,-121.37,0.8651,True
DJ2DS-1,KIWI_1,469603,469603,135788,2026-03-31 10:52:00,2026-06-10 14:56:00,8,80m|60m|22m|20m|17m|15m|12m|10m,1.0,-138.61,-138.22,0.2892,True
DJ2DS/1,KIWI_0,367995,367995,363986,2026-06-10 15:02:00,2026-06-30 23:58:00,6,630m|160m|80m|60m|40m|30m,1.0,-117.58,-116.97,0.9891,True
DJ2DS/1,KIWI_1,285462,285462,42219,2026-06-10 15:02:00,2026-06-30 23:58:00,7,60m|22m|20m|17m|15m|12m|10m,1.0,-138.29,-137.92,0.1479,True
DO6LSM,DO6LSM_1,446147,446147,59316,2025-06-06 09:34:00,2026-06-26 09:38:00,9,80m|40m|30m|20m|17m|15m|12m|10m|other,1.0,-140.54,-139.71,0.133,True
DP0GVN,KA9Q_0,1771135,1770947,156419,2025-06-01 00:00:00,2026-05-16 07:44:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,0.9999,-143.84,-125.12,0.0883,True
EA8/DF4UE,KA9Q_0,7363345,7362921,706591,2025-06-01 00:00:00,2026-03-18 11:28:00,15,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m|other,0.9999,-128.38,-108.22,0.096,True
EA8/DF4UE,KA9Q_1,31829,31829,14274,2025-06-13 17:34:00,2025-09-08 16:26:00,11,160m|80m|60m|40m|30m|20m|17m|15m|12m|10m|6m,1.0,-125.07,-86.19,0.4485,True
EA8/DF4UE,KIWI_2,15761,15758,148,2025-06-02 17:42:00,2025-06-03 07:24:00,10,160m|80m|60m|40m|30m|20m|17m|15m|12m|10m,0.9998,-124.57,-149.12,0.0094,True
EA8/DF4UE,KIWI_40,39606,39597,468,2025-06-01 00:00:00,2025-06-03 07:08:00,11,630m|160m|80m|60m|40m|30m|20m|17m|15m|12m|10m,0.9998,-134.95,-128.73,0.0118,True
EA8/DF4UE,KIWI_76,4128689,4128492,1355390,2025-06-03 13:40:00,2026-03-18 11:28:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,1.0,-130.7,-95.9,0.3283,True
EA8/DF4UE,KIWI_77,3140113,3139934,293796,2025-06-03 13:08:00,2026-03-18 11:28:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,0.9999,-140.12,-99.07,0.0936,True
EA8/DF4UE,KIWI_R,2276314,2276135,313990,2025-06-03 12:44:00,2025-09-19 11:02:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|6m,0.9999,-123.71,-148.18,0.1379,True
EA8/DF4UR,KIWI_LZ,73952,73940,20208,2025-06-01 00:00:00,2025-06-03 07:24:00,11,630m|160m|80m|60m|40m|30m|20m|17m|15m|12m|10m,0.9998,-133.1,-137.48,0.2733,True
EA8/LA3JJ,KA9Q_0,26218,26218,24,2025-12-12 23:22:00,2025-12-13 19:24:00,2,10m|other,1.0,-127.02,-128.37,0.0009,True
EA8/LA3JJ,KIWI_0,6395,6395,0,2025-12-09 13:12:00,2025-12-13 19:24:00,2,10m|other,1.0,-138.49,-77.19,0.0,True
EA8BFK,KA9Q_0,6509599,6509568,443933,2025-09-13 03:56:00,2026-02-25 14:30:00,13,630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,1.0,-126.68,-124.06,0.0682,True
EA8BFK,KIWI_80,7507541,7507368,868613,2025-06-01 00:00:00,2026-01-08 19:38:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,1.0,-131.07,-123.51,0.1157,True
EA8BFK,KIWI_LZ,1736296,1736230,142762,2025-06-01 00:00:00,2025-09-15 10:02:00,13,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,1.0,-136.43,-134.09,0.0822,True
EA8BFK,KIWI_XR,6301443,6301407,56762,2025-09-21 10:40:00,2026-02-25 14:30:00,13,2200m|630m|160m|80m|60m|40m|30m|20m|17m|15m|12m|10m|other,1.0,-146.41,-93.98,0.009,True
EA8BFK,KIWI_XR7,1730136,1730066,9408,2025-06-01 02:58:00,2025-09-15 10:02:00,13,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m,1.0,-139.87,-137.87,0.0054,True
F4VTQ,KA9Q_0,5822548,5818829,2545821,2025-06-01 00:00:00,2026-03-30 13:32:00,14,2200m|630m|160m|80m|60m|40m|30m|22m|20m|17m|15m|12m|10m|other,0.9994,-138.86,-74.43,0.4372,True
F4VTQ/K,KIWI_0,2701469,2701469,859000,2025-06-01 00:00:00,2026-06-30 23:58:00,11,160m|80m|60m|40m|30m|20m|17m|15m|12m|10m|other,1.0,-122.2,-126.61,0.318,True
F4VTQ/S,KA9Q_1,2119760,2116443,0,2025-06-01 00:00:00,2026-04-02 15:36:00,13,2200m|630m|160m|80m|60m|40m|30m|20m|17m|15m|12m|10m|other,0.9984,-108.7,-110.54,0.0,True
F4VTQ/T,KA9Q_2,656731,655198,0,2026-04-05 21:48:00,2026-06-02 08:32:00,10,160m|80m|60m|40m|30m|20m|17m|15m|12m|10m,0.9977,-65.89,-68.13,0.0,True
