rx_sign,site_call,in_wsprnet,in_wsprdaemon,source_class,sw_class,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,quality_tier,n_days_active,n_spots_wsprnet,n_spots_wd,noise_valid_frac
ON5KQ/Q,ON5KQ,True,False,wsprnet_only,wsprdaemon,JO10os,6.0,50.7708,3.2083,N,50.7708,46.229,46.229,D,2,47289.0,,
ON5LT,ON5LT,True,False,wsprnet_only,wsjtx,JO10nu,6.0,50.8542,3.125,N,50.8542,46.332,46.332,C,26,5781.0,,
ON5MB,ON5MB,True,False,wsprnet_only,wsjtx,JO10vu,6.0,50.8542,3.7917,N,50.8542,46.329,46.329,D,1,43.0,,
ON5MU,ON5MU,True,False,wsprnet_only,wsjtx,JO10vk,6.0,50.4375,3.7917,N,50.4375,45.816,45.816,D,6,570.0,,
ON5PVD,ON5PVD,True,False,wsprnet_only,kiwisdr,JO20dv,6.0,50.8958,4.2917,N,50.8958,46.378,46.378,D,5,562.0,,
ON5RZ,ON5RZ,True,False,wsprnet_only,wsjtx,JO21ce,6.0,51.1875,4.2083,N,51.1875,46.736,46.736,D,3,1557.0,,
ON5SE,ON5SE,True,False,wsprnet_only,wsjtx,JN29uq,6.0,49.6875,5.7083,N,49.6875,44.897,44.897,B,64,63871.0,,
ON5SE/QRP,ON5SE,True,False,wsprnet_only,wsjtx,JN29uq,6.0,49.6875,5.7083,N,49.6875,44.897,44.897,D,3,2059.0,,
ON5TB,ON5TB,True,False,wsprnet_only,wsjtx,JO20uo,6.0,50.6042,5.7083,N,50.6042,46.022,46.022,D,1,51.0,,
ON5UK,ON5UK,True,False,wsprnet_only,wsjtx,JO10tx,6.0,50.9792,3.625,N,50.9792,46.483,46.483,D,2,215.0,,
ON5UN,ON5UN,True,False,wsprnet_only,wsjtx,JO11wc,6.0,51.1042,3.875,N,51.1042,46.635,46.635,D,4,31.0,,
ON5VL,ON5VL,True,False,wsprnet_only,wsjtx,JO20sp,6.0,50.6458,5.5417,N,50.6458,46.072,46.072,D,2,131.0,,
ON5ZSH,ON5ZSH,True,False,wsprnet_only,wsjtx,JO20hq,6.0,50.6875,4.625,N,50.6875,46.122,46.122,D,2,81.0,,
ON6DO,ON6DO,True,False,wsprnet_only,wsjtx,JN29un,6.0,49.5625,5.7083,N,49.5625,44.742,44.742,D,1,611.0,,
ON6DP,ON6DP,True,False,wsprnet_only,other,JO20sm,6.0,50.5208,5.5417,N,50.5208,45.919,45.919,D,6,496.0,,
ON6DP-3,ON6DP,True,False,wsprnet_only,other,JO20sm,6.0,50.5208,5.5417,N,50.5208,45.919,45.919,C,12,58923.0,,
ON6EO,ON6EO,True,False,wsprnet_only,wsjtx,JO11mc,6.0,51.1042,3.0417,N,51.1042,46.641,46.641,D,4,501.0,,
ON6FU,ON6FU,True,False,wsprnet_only,wsjtx,JO11lf,6.0,51.2292,2.9583,N,51.2292,46.795,46.795,D,1,7.0,,
ON6FV,ON6FV,True,False,wsprnet_only,wsjtx,JO11qa,6.0,51.0208,3.375,N,51.0208,46.536,46.536,C,9,3532.0,,
ON6HC,ON6HC,True,False,wsprnet_only,wsjtx,JO11ph,6.0,51.3125,3.2917,N,51.3125,46.895,46.895,D,1,94.0,,
ON6HX,ON6HX,True,False,wsprnet_only,wsjtx,JO10xx,6.0,50.9792,3.9583,N,50.9792,46.482,46.482,C,7,864.0,,
ON6KPC,ON6KPC,True,False,wsprnet_only,wsjtx,JN29ux,6.0,49.9792,5.7083,N,49.9792,45.256,45.256,C,10,224.0,,
ON6KSL,ON6KSL,True,False,wsprnet_only,wsjtx,JO20ds,6.0,50.7708,4.2917,N,50.7708,46.225,46.225,D,1,381.0,,
ON6MI,ON6MI,True,False,wsprnet_only,wsjtx,JO20at,6.0,50.8125,4.0417,N,50.8125,46.277,46.277,D,1,88.0,,
ON6MU,ON6MU,True,False,wsprnet_only,wsjtx,JO20aw,6.0,50.9375,4.0417,N,50.9375,46.43,46.43,D,1,22.0,,
ON6MZ,ON6MZ,True,False,wsprnet_only,wsjtx,JO20,4.0,50.5,5.0,N,50.5,45.893,45.893,D,6,6773.0,,
ON6NA,ON6NA,True,False,wsprnet_only,other,JO11vf,6.0,51.2292,3.7917,N,51.2292,46.789,46.789,D,2,481.0,,
ON6NT,ON6NT,True,False,wsprnet_only,wsjtx,JO20qw,6.0,50.9375,5.375,N,50.9375,46.428,46.428,C,15,9874.0,,
ON6NT/P,ON6NT,True,False,wsprnet_only,wsjtx,JO20xj,6.0,50.3958,5.9583,N,50.3958,45.768,45.768,D,1,66.0,,
ON6OM,ON6OM,True,False,wsprnet_only,other,JO11vb,6.0,51.0625,3.7917,N,51.0625,46.585,46.585,D,5,273.0,,
ON6PY,ON6PY,True,False,wsprnet_only,wsjtx,JO10uu,6.0,50.8542,3.7083,N,50.8542,46.329,46.329,D,3,612.0,,
ON6RM,ON6RM,True,False,wsprnet_only,wsjtx,JO10vl,6.0,50.4792,3.7917,N,50.4792,45.867,45.867,D,2,75.0,,
ON6TJ,ON6TJ,True,False,wsprnet_only,wsjtx,JO20ej,6.0,50.3958,4.375,N,50.3958,45.764,45.764,D,1,88.0,,
ON6WB,ON6WB,True,False,wsprnet_only,wsjtx,JO10nw,6.0,50.9375,3.125,N,50.9375,46.435,46.435,D,1,3.0,,
ON6YF,ON6YF,True,False,wsprnet_only,unknown,JO20kc,6.0,50.1042,4.875,N,50.1042,45.405,45.405,D,2,728.0,,
ON6ZT,ON6ZT,True,False,wsprnet_only,wsjtx,JO10vu,6.0,50.8542,3.7917,N,50.8542,46.329,46.329,D,1,3206.0,,
ON7ABG,ON7ABG,True,False,wsprnet_only,wsjtx,JO20cv,6.0,50.8958,4.2083,N,50.8958,46.379,46.379,D,1,40.0,,
ON7AN,ON7AN,True,False,wsprnet_only,unknown,JO20ek,6.0,50.4375,4.375,N,50.4375,45.815,45.815,A,286,878627.0,,
ON7AN/RX,ON7AN,True,False,wsprnet_only,unknown,JO20ek,6.0,50.4375,4.375,N,50.4375,45.815,45.815,D,1,13.0,,
ON7ASL,ON7ASL,True,False,wsprnet_only,wsjtx,JO20iu,6.0,50.8542,4.7083,N,50.8542,46.327,46.327,D,1,12.0,,
ON7AVC,ON7AVC,True,False,wsprnet_only,other,JO20dt,6.0,50.8125,4.2917,N,50.8125,46.276,46.276,D,1,26.0,,
ON7AVR,ON7AVR,True,False,wsprnet_only,wsjtx,JO21mb,6.0,51.0625,5.0417,N,51.0625,46.581,46.581,D,6,236.0,,
ON7AVR/P,ON7AVR,True,False,wsprnet_only,wsjtx,JO20ku,6.0,50.8542,4.875,N,50.8542,46.327,46.327,D,1,179.0,,
ON7CFI,ON7CFI,True,False,wsprnet_only,wsjtx,JO20jq,6.0,50.6875,4.7917,N,50.6875,46.122,46.122,D,5,286.0,,
ON7DJ,ON7DJ,True,False,wsprnet_only,wsjtx,JO21hg,6.0,51.2708,4.625,N,51.2708,46.836,46.836,D,6,125.0,,
ON7DQ,ON7DQ,True,False,wsprnet_only,wsjtx,JO11kf,6.0,51.2292,2.875,N,51.2292,46.796,46.796,D,1,146.0,,
ON7DS,ON7DS,True,False,wsprnet_only,wsjtx,JO21fd,6.0,51.1458,4.4583,N,51.1458,46.684,46.684,D,5,1593.0,,
ON7DY,ON7DY,True,False,wsprnet_only,wsjtx,JO20ow,6.0,50.9375,5.2083,N,50.9375,46.428,46.428,D,2,11.0,,
ON7ER,ON7ER,True,False,wsprnet_only,wsjtx,JO10rn,6.0,50.5625,3.4583,N,50.5625,45.971,45.971,D,2,398.0,,
ON7FLY,ON7FLY,True,False,wsprnet_only,wsjtx,JO10lt,6.0,50.8125,2.9583,N,50.8125,46.282,46.282,D,1,85.0,,
ON7HC,ON7HC,True,False,wsprnet_only,wsjtx,JO21ib,6.0,51.0625,4.7083,N,51.0625,46.582,46.582,C,8,9892.0,,
ON7IR,ON7IR,True,False,wsprnet_only,wsjtx,JO20fx,6.0,50.9792,4.4583,N,50.9792,46.48,46.48,D,6,828.0,,
ON7KEC,ON7KEC,True,False,wsprnet_only,wsjtx,JO21ce,6.0,51.1875,4.2083,N,51.1875,46.736,46.736,D,3,217.0,,
ON7KEI,ON7KEI,True,False,wsprnet_only,other,JO21rf,6.0,51.2292,5.4583,N,51.2292,46.784,46.784,D,4,77.0,,
ON7KER,ON7KER,True,False,wsprnet_only,other,JO20fj,6.0,50.3958,4.4583,N,50.3958,45.764,45.764,A,262,16328.0,,
ON7LG,ON7LG,True,False,wsprnet_only,wsjtx,JO10ou,6.0,50.8542,3.2083,N,50.8542,46.332,46.332,D,3,985.0,,
ON7LSP,ON7LSP,True,False,wsprnet_only,wsjtx,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,D,1,15.0,,
ON7NR,ON7NR,True,False,wsprnet_only,wsjtx,JO10vx,6.0,50.9792,3.7917,N,50.9792,46.483,46.483,D,2,781.0,,
ON7NU,ON7NU,True,False,wsprnet_only,wsjtx,JO20eu,6.0,50.8542,4.375,N,50.8542,46.327,46.327,D,1,31.0,,
